楼栋	房号	建筑面积	套内面积	公摊面积	价格	总价
4栋	2101	88.14	67.06	21.08	47647.3	4199633.022
4栋	2102	112.02	85.23	26.79	48755.77	5461621.355
4栋	2001	88.14	67.06	21.08	47567.3	4192581.822
4栋	2002	112.02	85.23	26.79	48675.77	5452659.755
4栋	2003	88.14	67.06	21.08	47730.84	4206996.238
4栋	2005	87.88	66.86	21.02	49657.04	4363860.675
4栋	2006	88	66.95	21.05	49711.56	4374617.28
4栋	1901	88.14	67.06	21.08	47487.3	4185530.622
4栋	1902	112.02	85.23	26.79	48595.77	5443698.155
4栋	1903	88.14	67.06	21.08	47650.84	4199945.038
4栋	1905	87.88	66.86	21.02	49577.04	4356830.275
4栋	1906	88	66.95	21.05	49631.56	4367577.28
4栋	1801	88.14	67.06	21.08	47407.3	4178479.422
4栋	1802	112.02	85.23	26.79	48515.77	5434736.555
4栋	1803	88.14	67.06	21.08	47570.84	4192893.838
4栋	1805	87.88	66.86	21.02	49497.04	4349799.875
4栋	1806	88	66.95	21.05	49551.56	4360537.28
4栋	1701	88.14	67.06	21.08	47327.3	4171428.222
4栋	1702	112.02	85.23	26.79	48435.77	5425774.955
4栋	1703	88.14	67.06	21.08	47490.84	4185842.638
4栋	1705	87.88	66.86	21.02	49417.03	4342768.596
4栋	1706	88	66.95	21.05	49471.56	4353497.28
4栋	1601	88.14	67.06	21.08	47247.3	4164377.022
4栋	1602	112.02	85.23	26.79	48355.77	5416813.355
4栋	1603	88.14	67.06	21.08	47410.85	4178792.319
4栋	1605	87.88	66.86	21.02	49337.04	4335739.075
4栋	1606	88	66.95	21.05	49391.56	4346457.28
4栋	1501	88.14	67.06	21.08	47167.3	4157325.822
4栋	1502	112.02	85.23	26.79	48275.77	5407851.755
4栋	1503	88.14	67.06	21.08	47330.84	4171740.238
4栋	1505	87.88	66.86	21.02	49257.04	4328708.675
4栋	1506	88	66.95	21.05	49311.56	4339417.28
4栋	1401	88.14	67.06	21.08	47087.3	4150274.622
4栋	1402	112.02	85.23	26.79	48195.77	5398890.155
4栋	1403	88.14	67.06	21.08	47250.84	4164689.038
4栋	1405	87.88	66.86	21.02	49177.04	4321678.275
4栋	1406	88	66.95	21.05	49231.56	4332377.28
4栋	1301	88.14	67.06	21.08	47007.3	4143223.422
4栋	1302	112.02	85.23	26.79	48115.77	5389928.555
4栋	1303	88.14	67.06	21.08	47170.84	4157637.838
4栋	1305	87.88	66.86	21.02	49097.04	4314647.875
4栋	1306	88	66.95	21.05	49151.56	4325337.28
4栋	1201	88.14	67.06	21.08	46927.31	4136173.103
4栋	1202	112.02	85.23	26.79	48035.77	5380966.955
4栋	1203	88.14	67.06	21.08	47090.84	4150586.638
4栋	1205	87.88	66.86	21.02	49017.05	4307618.354
4栋	1206	88	66.95	21.05	49071.57	4318298.16
4栋	1101	88.14	67.06	21.08	46727.3	4118544.222
4栋	1102	112.02	85.23	26.79	47835.77	5358562.955
4栋	1103	88.14	67.06	21.08	46890.84	4132958.638
4栋	1105	87.88	66.86	21.02	48817.03	4290040.596
4栋	1106	88	66.95	21.05	48871.56	4300697.28
4栋	1001	88.14	67.06	21.08	46647.31	4111493.903
4栋	1002	112.02	85.23	26.79	47755.78	5349602.476
4栋	1003	88.14	67.06	21.08	46810.85	4125908.319
4栋	1005	87.88	66.86	21.02	48737.05	4283011.954
4栋	1006	88	66.95	21.05	48791.57	4293658.16
4栋	902	112.02	85.23	26.79	47675.77	5340639.755
4栋	903	88.14	67.06	21.08	46730.84	4118856.238
4栋	905	87.88	66.86	21.02	48657.04	4275980.675
4栋	906	88	66.95	21.05	48711.56	4286617.28
4栋	801	88.14	67.06	21.08	46487.3	4097390.622
4栋	802	112.02	85.23	26.79	47595.77	5331678.155
4栋	803	88.14	67.06	21.08	46650.84	4111805.038
4栋	805	87.88	66.86	21.02	48577.04	4268950.275
4栋	806	88	66.95	21.05	48631.56	4279577.28
4栋	701	88.14	67.06	21.08	46407.3	4090339.422
4栋	702	112.02	85.23	26.79	47515.77	5322716.555
4栋	703	88.14	67.06	21.08	46570.84	4104753.838
4栋	705	87.88	66.86	21.02	48497.04	4261919.875
4栋	706	88	66.95	21.05	48551.56	4272537.28
4栋	601	88.14	67.06	21.08	46327.3	4083288.222
4栋	602	112.02	85.23	26.79	47435.77	5313754.955
4栋	603	88.14	67.06	21.08	46490.84	4097702.638
4栋	605	87.88	66.86	21.02	48417.03	4254888.596
4栋	606	88	66.95	21.05	48471.56	4265497.28
4栋	501	88.14	67.06	21.08	46247.3	4076237.022
4栋	502	112.02	85.23	26.79	47355.77	5304793.355
4栋	503	88.14	67.06	21.08	46410.85	4090652.319
4栋	505	87.88	66.86	21.02	48337.04	4247859.075
4栋	506	88	66.95	21.05	48391.56	4258457.28
4栋	403	88.14	67.06	21.08	46330.84	4083600.238
4栋	405	87.88	66.86	21.02	48257.04	4240828.675
5栋	2302	142.31	107.65	34.66	53028.43	7546475.873
